bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
275,168833.539080,0,0,1.055339534e-3,6.676502432e-4,-0.89021492,0.89021492,6.885694,10.89242766
276,169307.596158,1,1,5.460362853e-5,9.760116228e-3,0.88512355,0.88512355,-5.906035,10.89242766
277,169787.549429,0,0,4.952623750e-4,2.557335598e-4,-0.90948034,0.90948034,0.000000,10.89242766
278,170262.183541,1,1,4.569193342e-5,1.057812784e-2,0.91012929,0.91012929,-5.310308,10.89242766
279,170742.119111,1,1,2.035024274e-5,1.301344920e-2,0.96650372,0.96650372,0.000000,10.89242766
280,171223.634803,0,0,1.600909408e-3,5.167347149e-4,-0.94243961,0.94243961,1.577494,10.89242766
281,171703.575631,0,0,1.006871908e-3,3.636925386e-4,-0.93580559,0.93580559,0.000000,10.89242766
282,172183.516458,0,0,9.447788718e-4,7.299716060e-5,-0.98591323,0.98591323,0.000000,10.89242766
283,172663.457286,0,0,6.096440224e-4,1.421338530e-4,-0.95808891,0.95808891,0.000000,10.89242766
284,173134.332322,1,1,9.015871780e-5,8.575788649e-3,0.79450425,0.79450425,-9.050708,10.89242766
285,173614.242981,1,1,1.807185406e-5,1.017252404e-2,0.96203311,0.96203311,0.000000,10.89242766
286,174094.153640,0,0,5.688938421e-4,8.767369378e-4,-0.75210213,0.75210213,0.000000,10.89242766
287,174564.948816,1,1,6.076191891e-5,9.207896900e-3,0.86588407,0.86588407,-9.100315,10.89242766
288,175057.934093,0,0,6.246278098e-4,1.140882368e-4,-0.96701604,0.96701604,13.083147,10.89242766
289,175537.858028,0,0,1.282048616e-3,3.127393540e-4,-0.95619087,0.95619087,0.000000,10.89242766
290,176017.781963,0,0,1.100510715e-3,1.970311642e-5,-0.99671804,0.99671804,0.000000,10.89242766
291,176497.705897,0,0,9.797125223e-4,7.320599515e-6,-0.99862894,0.99862894,0.000000,10.89242766
292,176976.867994,1,1,8.541033926e-5,8.078239206e-3,0.79345746,0.79345746,-0.760571,10.89242766
293,177456.789394,0,0,4.523885034e-4,5.216243898e-4,-0.80855128,0.80855128,0.000000,10.89242766
294,177929.767839,1,1,1.359564999e-5,8.412220642e-3,0.96540087,0.96540087,-6.931402,10.89242766
295,178409.666134,0,0,6.437248047e-4,2.555144571e-4,-0.92968047,0.92968047,0.000000,10.89242766
296,178890.443344,1,1,2.366370931e-5,9.211253079e-3,0.94555813,0.94555813,0.877452,10.89242766
297,179381.548674,0,0,9.879208136e-4,1.705758609e-4,-0.96879167,0.96879167,11.185468,10.89242766
298,179861.487179,0,0,1.387891991e-3,3.230068333e-4,-0.95816115,0.95816115,0.000000,10.89242766
299,180341.425684,1,1,2.136449229e-4,7.053510603e-3,0.50384703,0.50384703,0.000000,10.89242766
300,180821.364189,0,0,1.382106711e-3,4.343054194e-4,-0.94392008,0.94392008,0.000000,10.89242766
301,181298.017455,1,1,1.759137930e-4,8.515833370e-3,0.63264277,0.63264277,-3.279772,10.89242766
302,181791.112430,0,0,9.322670493e-4,2.780677995e-4,-0.94669313,0.94669313,13.145494,10.89242766
303,182271.083820,0,0,9.347064871e-4,3.478640444e-4,-0.93392323,0.93392323,0.000000,10.89242766
304,182751.055211,0,0,2.556538136e-4,7.889065646e-5,-0.94490070,0.94490070,0.000000,10.89242766
305,183222.711589,1,1,2.911451051e-5,9.148918207e-3,0.93299680,0.93299680,-8.301177,10.89242766
306,183702.655308,0,0,4.856546699e-4,1.442721108e-4,-0.94690247,0.94690247,0.000000,10.89242766
307,184176.911856,1,1,5.377676988e-5,9.407819946e-3,0.88277282,0.88277282,-5.677709,10.89242766
308,184656.836650,1,1,4.946111518e-5,1.103386125e-2,0.90689197,0.90689197,0.000000,10.89242766
309,185136.761445,1,1,4.596142448e-6,1.533387899e-2,0.99349151,0.99349151,0.000000,10.89242766
310,185628.860951,0,0,1.046594027e-3,4.423468079e-4,-0.92529375,0.92529375,12.154455,10.89242766
311,186108.826260,0,0,1.321462400e-3,2.066493421e-4,-0.97169300,0.97169300,0.000000,10.89242766
312,186588.791569,0,0,8.495398565e-4,4.603894655e-4,-0.90521057,0.90521057,0.000000,10.89242766
313,187068.756878,0,0,5.639472029e-4,1.710143687e-4,-0.94582812,0.94582812,0.000000,10.89242766
314,187538.041209,1,1,1.201530272e-4,7.879034326e-3,0.71510933,0.71510933,-10.663206,10.89242766
315,188017.970974,0,0,4.927991711e-4,3.004530515e-4,-0.89398704,0.89398704,0.000000,10.89242766
316,188497.900739,0,0,2.939664823e-4,5.275141477e-4,-0.71711440,0.71711440,0.000000,10.89242766
317,188977.830504,1,1,7.794778615e-5,8.067855291e-3,0.80956588,0.80956588,0.000000,10.89242766
318,189457.760269,0,0,4.642986369e-4,2.809791361e-4,-0.89473122,0.89473122,0.000000,10.89242766
319,189937.690034,0,0,8.756195595e-4,2.352742122e-4,-0.95185169,0.95185169,0.000000,10.89242766
320,190416.437211,1,1,2.825462470e-5,7.638907776e-3,0.92254328,0.92254328,-1.180620,10.89242766
321,190896.363041,1,1,4.513181901e-6,1.103525626e-2,0.99112998,0.99112998,0.000000,10.89242766
322,191386.104839,0,0,9.469441758e-4,9.883376629e-4,-0.82511722,0.82511722,9.799636,10.89242766
323,191866.063334,0,0,9.910190994e-4,1.451735487e-4,-0.97345951,0.97345951,0.000000,10.89242766
324,192346.021829,0,0,8.081101009e-4,1.515746477e-4,-0.96614316,0.96614316,0.000000,10.89242766
325,192825.980324,0,0,8.061434130e-4,9.552491189e-5,-0.97847662,0.97847662,0.000000,10.89242766
326,193305.938819,0,0,8.283929520e-4,5.631398809e-5,-0.98759539,0.98759539,0.000000,10.89242766
327,193785.897314,0,0,6.384548408e-4,2.805892588e-5,-0.99196294,0.99196294,0.000000,10.89242766
