bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
286,160639.949749,0,0,2.448320543e-2,7.863468685e-4,-0.98091559,0.98091559,-6.785487,3.33375007
287,161125.007007,1,1,6.421239875e-4,6.070454491e-2,0.93187451,0.93187451,5.077005,3.33375007
288,161599.713448,0,0,2.819128130e-2,7.228086554e-4,-0.98473566,0.98473566,-5.273485,3.33375007
289,162079.684584,0,0,2.815792911e-2,5.959306540e-4,-0.98738336,0.98738336,0.000000,3.33375007
290,162559.655721,0,0,2.912650640e-2,7.501842614e-5,-0.99845602,0.99845602,0.000000,3.33375007
291,163039.626857,0,0,2.592694159e-2,3.242501789e-4,-0.99252520,0.99252520,0.000000,3.33375007
292,163522.312661,1,1,7.597201446e-4,5.361247995e-2,0.90977974,0.90977974,2.710150,3.33375007
293,164000.693310,0,0,2.359725240e-2,9.877355123e-4,-0.97519968,0.97519968,-1.596860,3.33375007
294,164485.777741,1,1,5.315583610e-4,6.264154969e-2,0.94497802,0.94497802,5.101081,3.33375007
295,164960.850037,0,0,2.605535471e-2,8.064401481e-4,-0.98160251,0.98160251,-4.911369,3.33375007
296,165446.179067,1,1,5.071471147e-4,7.111688389e-2,0.95355699,0.95355699,5.344642,3.33375007
297,165924.146162,0,0,2.465717122e-2,9.687807993e-4,-0.97670350,0.97670350,-2.022829,3.33375007
298,166404.132715,0,0,3.190229233e-2,6.633727938e-4,-0.98760255,0.98760255,0.000000,3.33375007
299,166888.189479,1,1,1.069128340e-3,6.488133434e-2,0.89585277,0.89585277,4.063440,3.33375007
300,167365.940159,0,0,2.839508906e-2,8.275366124e-4,-0.98266751,0.98266751,-2.245675,3.33375007
301,167849.334051,1,1,4.212419799e-4,6.903519417e-2,0.96012705,0.96012705,3.395620,3.33375007
302,168326.756546,0,0,3.005324053e-2,1.029821797e-3,-0.97965177,0.97965177,-2.577140,3.33375007
303,168806.751886,0,0,3.405622819e-2,3.265080575e-4,-0.99426482,0.99426482,0.000000,3.33375007
304,169286.747226,0,0,2.322192471e-2,9.178764050e-5,-0.99763153,0.99763153,0.000000,3.33375007
305,169771.256747,1,1,1.069852366e-3,5.849097889e-2,0.88505452,0.88505452,4.506669,3.33375007
306,170248.133187,0,0,1.926246051e-2,9.298994679e-4,-0.97145189,0.97145189,-3.128707,3.33375007
307,170731.934188,1,1,1.188725557e-3,6.284446493e-2,0.88136299,0.88136299,3.794743,3.33375007
308,171211.946771,1,1,2.964674723e-4,6.398151398e-2,0.96957517,0.96957517,0.000000,3.33375007
309,171691.959353,1,1,4.107115912e-4,7.391687732e-2,0.96362649,0.96362649,0.000000,3.33375007
310,172166.274871,0,0,3.115920119e-2,1.228535003e-3,-0.97662283,0.97662283,-5.687585,3.33375007
311,172646.268494,0,0,3.689196858e-2,6.232531192e-4,-0.98991597,0.98991597,0.000000,3.33375007
312,173126.262118,0,0,3.123699145e-2,1.882469359e-4,-0.99639113,0.99639113,0.000000,3.33375007
313,173606.255742,0,0,2.454177349e-2,3.140293361e-4,-0.99235289,0.99235289,0.000000,3.33375007
314,174088.663278,1,1,1.253023111e-3,5.081701820e-2,0.84808363,0.84808363,2.409896,3.33375007
315,174565.719015,0,0,2.046144197e-2,5.747829389e-4,-0.98328831,0.98328831,-2.941019,3.33375007
316,175045.710868,0,0,2.334879105e-2,3.303220151e-4,-0.99154855,0.99154855,0.000000,3.33375007
317,175531.110834,1,1,5.702870900e-4,4.886330049e-2,0.92509747,0.92509747,5.399114,3.33375007
318,176004.330583,0,0,2.285297295e-2,5.021947330e-4,-0.98690296,0.98690296,-6.778803,3.33375007
319,176484.317838,0,0,2.411823748e-2,4.687855699e-4,-0.98840687,0.98840687,0.000000,3.33375007
320,176968.245095,1,1,6.168967724e-4,5.505634055e-2,0.92798198,0.92798198,3.933447,3.33375007
321,177448.245461,1,1,1.294799316e-4,6.357912504e-2,0.98651309,0.98651309,0.000000,3.33375007
322,177924.237627,0,0,2.755733860e-2,1.270152225e-3,-0.97272579,0.97272579,-4.001530,3.33375007
